Kapitel/Abschnitt;Kontroll-ID;Typ;Anforderung;Prüfmethode;Nachweis;Konformitätsstatus;Feststellung;Anmerkungen Unterstützung;Anmerkungen Auditor
13.2 Server, aktive Netzwerkkomponenten und Netzwerkverteilstellen;13.2.1;Verpflichtend;Server, aktive Netzwerkkomponenten und Netzwerkverteilstellen MÜSSEN vor Beschädigung und unberechtigtem Zutritt geschützt werden.;I;Serverraum mit Zutrittskontrolle, abschließbare Schränke;1;abgeschlossen und Kameraüberwachung;;
13.3 Datenleitungen;13.3.1;Verpflichtend;Fest installierte Datenleitungen MÜSSEN durch entsprechende bauliche Maßnahmen vor Beschädigung geschützt werden.;I;Kabelkanäle, Zugentlastung, Brandschottung;1;;;
13.4 Zusätzliche Maßnahmen für kritische IT-Systeme;13.4.1;Verpflichtend;Im Zuge der Risikoanalyse MÜSSEN für kritische IT-Systeme Bedrohungen wie ungeeignete Umgebungsbedingungen, negative Umwelteinflüsse, Stromversorgungsprobleme und unbefugter Zutritt berücksichtigt werden.;I;Dokumentierte Risikoanalyse mit Infrastrukturaspekten;0;keine Risikobewertung vorhanden;;
14.2 IS-Richtlinie für IT-Outsourcing;14.2.1;Verpflichtend;In einer IS-Richtlinie MÜSSEN die Bedingungen festgelegt werden, unter welchen IT-Ressourcen ausgelagert werden dürfen.;I;Richtlinie für IT-Outsourcing und Cloud Computing;0.5;"IS-207; Erstellt aber noch freizugegeben und abzustimmen";;
14.3 Vorbereitung IT-Outsourcing;14.3.1;Verpflichtend;Für jede Maßnahme zur Auslagerung von IT-Ressourcen MÜSSEN Ressourcen, Anforderungen und Kritikalität dokumentiert und die Organisation vorbereitet werden.;I;Auslagerungskonzept, Anforderungsdefinition;0;nicht vorhanden;;
14.4 Vertragsgestaltung;14.4.1;Verpflichtend;Bei Auslagerung von IT-Ressourcen MUSS ein Vertrag geschlossen werden, der die Anforderungen festhält.;I;Verträge mit Dienstleistern, SLAs;0.5;"Vertragsmanagement nicht vorhanden
Verträge werden aber abgeschlossen";;
14.5 Zusätzliche Maßnahmen für kritische IT-Ressourcen;14.5.1;Verpflichtend;Bei Auslagerung kritischer IT-Ressourcen MÜSSEN Anforderungen an Vertraulichkeit, Verfügbarkeit und Integrität vertraglich geregelt werden.;I;Verträge mit erweiterten Sicherheitsanforderungen;0;Vertragsmanagement nicht vorhanden;;
15.2 Verwaltung von Zugängen;15.2.1;Verpflichtend;Es MÜSSEN Verfahren für das Anlegen und Ändern von Zugängen, Zugriffsrechten und Zutrittsrechten implementiert werden.;I;Berechtigungsmanagement-Prozess, Genehmigungsworkflow;1;Schriftlich geregelt, Mitarbeiter On- und Off-Boarding;;
15.3 Zusätzliche Maßnahmen für kritische IT-Systeme;15.3.1;Verpflichtend;Alle Zugänge zu kritischen IT-Systemen, Zugriffsrechte auf kritische Informationen und Zutrittsrechte zu kritischen IT-Systemen MÜSSEN jährlich überprüft werden.;I;Prüfprotokolle, Berechtigungsreviews;0;wird nicht gemacht;;
16.3 Verfahren Datensicherung;16.3.1;Verpflichtend;Für die Datensicherung und -wiederherstellung MÜSSEN Verfahren implementiert werden, die Schutz, Verteilung und Tests der Sicherungen regeln.;I;Backup-Konzept, Wiederherstellungstests;0.5;Backup-Konzepte und Übersichten liegen vor. Es werden keine Wiederherstellungstests ;;
16.4 Weiterentwicklung;16.4.1;Verpflichtend;Der ISB MUSS jährlich prüfen, ob Änderungen an IT-Systemen eine Anpassung der Sicherungs- und Wiederherstellungsverfahren erforderlich machen.;I;Prüfvermerk, aktualisierte Datensicherungskonzepte;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
16.5.3 Speicherorte;16.5.3.1;Verpflichtend;Speicherorte MÜSSEN so gesichert werden, dass ihr letzter wiederherstellbarer Zustand nicht älter als 24 Stunden ist.;I;Backup-Konfiguration, Sicherungsprotokolle;1;Vorhanden, siehe Backup-Konzept;;
16.5.4 Server;16.5.4.1;Verpflichtend;Server MÜSSEN so gesichert werden, dass ihr letzter wiederherstellbarer Zustand nicht älter als 24 Stunden ist.;I;Backup-Konfiguration, Sicherungsprotokolle;1;Vorhanden, siehe Backup-Konzept;;
16.5.5 Aktive Netzwerkkomponenten;16.5.5.1;Verpflichtend;Systemsoftware und Konfiguration der aktiven Netzwerkkomponenten MÜSSEN initial und nach jeder Änderung gesichert werden.;I;Konfigurationssicherungen, Change-Prozess;0.5;"kein Change-Prozess eingeführt; Firewall wird gesichert, Switch Konfiguration ebenfalls gesichert";;
16.6.1 Datensicherung kritische IT-Systeme;16.6.1.1;Verpflichtend;Jedes kritische IT-System MUSS über eine Datensicherung verfügen.;I;Backup-Konfiguration für kritische Systeme;0;keine Risikobewertung vorhanden;;
16.6.2 Risikoanalyse;16.6.2.1;Verpflichtend;Im Zuge der Risikoanalyse MÜSSEN die Folgen eines Datenverlusts analysiert und der MTD (maximal tolerierbarer Datenverlust) bestimmt werden.;I;Risikoanalyse mit MTD-Definition;0;"Risikoanalyse aus Blick ISO 9001 wurde durchgeführt, Anwendung auf VdS unklar; MTD nicht definiert";;
16.6.3 Verfahren;16.6.3.1;Verpflichtend;Die Verfahren zur Datensicherung MÜSSEN sicherstellen, dass kritische IT-Systeme vollständig gesichert werden, der MTD nicht überschritten wird und die Wiederherstellung innerhalb der MTA gewährleistet ist.;I;Backup-Konzept, Wiederherstellungstests mit Zeitmessung;0;MTA und MTD nicht definiert;;
17.2 IS-Richtlinie Sicherheitsvorfälle;17.2.1;Verpflichtend;In einer IS-Richtlinie MÜSSEN Regelungen für den Umgang mit Sicherheitsvorfällen getroffen werden.;D;Richtlinie für Sicherheitsvorfälle;0.5;IS-210, Richtlinie vorhanden aber noch nicht geprüft und umgesetzt;;
17.3 Erkennen von Sicherheitsvorfällen;17.3.1;Empfohlen;Es SOLLTEN Maßnahmen implementiert werden, die es ermöglichen, Sicherheitsvorfälle zu erkennen.;I;IDS/IPS, SIEM-System, Log-Analyse;0.5;kein SIEM, aber IDS/IPS in Firewall;;
17.4 Reaktion auf Sicherheitsvorfälle;17.4.1;Verpflichtend;Es MUSS ein Verfahren implementiert werden, das beim Auftreten eines Sicherheitsvorfalls zeitnah eine angemessene Reaktion sicherstellt.;D;Incident-Response-Plan, Verantwortlichkeiten;0.5;IS-332 vorhanden aber noch nicht geprüft und umgesetzt;;
17.5 Zusätzliche Maßnahmen für kritische IT-Systeme;17.5.1;Verpflichtend;Für kritische IT-Systeme MÜSSEN zusätzliche Maßnahmen für Sicherheitsvorfälle umgesetzt werden.;D;Erweiterte Incident-Response-Maßnahmen;0.5;IS-332 vorhanden aber noch nicht geprüft und umgesetzt;;
17.5.2 Wiederanlaufpläne;17.5.2.1;Verpflichtend;Für jedes kritische IT-System MUSS ein Verfahren für den Wiederanlauf implementiert werden.;D;Wiederanlaufpläne, Recovery-Tests;0.5;IS-447, Wiederanlaufpläne sind vorhanden, Risikobewertung ist aber offen;;
17.5.3 Abhängigkeiten;17.5.3.1;Verpflichtend;Es MÜSSEN die Abhängigkeiten der kritischen IT-Systeme untereinander dokumentiert werden.;I;Abhängigkeitsmatrix, Systemlandkarte;0;nicht umgesetzt;;
Anhang A.1 Verfahren;A.1.1;Verpflichtend;Die Organisation MUSS die geforderten Verfahren planen, steuern und stetig verbessern.;I;Prozesslandkarte, Verfahrensdokumentation;0.5;es sind Verfahren vorhanden (alles unter IS-300), aber keine Prüfung und Freigabe nach Anhang A.1;;
Anhang A.1 Verfahren;A.1.2;Verpflichtend;Es MUSS definiert werden, wer für die Durchführung der Verfahren verantwortlich ist.;I;Verantwortlichkeitsmatrix für Verfahren;0.5;es sind Verfahren vorhanden (alles unter IS-300), aber keine Prüfung und Freigabe nach Anhang A.2;;
Anhang A.1 Verfahren;A.1.3;Verpflichtend;Verfahren müssen dokumentiert, bekanntgegeben und verbessert werden.;I;Verfahrensdokumentation, Verbesserungsmaßnahmen;0.5;es sind Verfahren vorhanden (alles unter IS-300), aber keine Prüfung und Freigabe nach Anhang A.3;;
Anhang A.1 Verfahren;A.1.4;Verpflichtend;Umsetzung, Angemessenheit und Effektivität müssen jährlich bei einem Drittel der Verfahren überprüft werden.;I;Prüfprotokolle, Stichprobenauswahl;0.5;es sind Verfahren vorhanden (alles unter IS-300), aber keine Prüfung und Freigabe nach Anhang A.4;;
Anhang A.2 Risikomanagement;A.2.1;Verpflichtend;Die Organisation MUSS die geforderten Risikoidentifikationen und Risikoanalysen durchführen und erkannte Risiken zeitnah und angemessen behandeln.;I;Risikomanagement-Dokumentation;0;keine Risikobewertung vorhanden;;
Anhang A.2.2 Methodik;A.2.2.1;Verpflichtend;Die Vorgehensweisen für Risikoidentifikation, -analyse und -behandlung MÜSSEN festgelegt sein und zu reproduzierbaren Ergebnissen führen.;I;Risikomanagement-Methodik;0;keine Risikobewertung vorhanden;;
Anhang A.2.3 Risikoidentifikation;A.2.3.1;Verpflichtend;Jede Risikoidentifikation MUSS dokumentiert werden und umfassend nach möglichen Bedrohungen und Schwachstellen suchen.;I;Dokumentierte Risikoidentifikation mit Bedrohungskatalog;0;keine Risikobewertung vorhanden;;
Anhang A.2.4 Risikoanalyse;A.2.4.1;Verpflichtend;Jede Risikoanalyse MUSS dokumentiert werden und Risiken anhand einheitlicher Kriterien bewerten.;I;Risikoanalyse mit Bewertungsschema;0;keine Risikobewertung vorhanden;;
Anhang A.2.5 Risikobehandlung;A.2.5.1;Verpflichtend;Identifizierte Risiken MÜSSEN zeitnah behandelt und Maßnahmen zur Vermeidung, Reduzierung oder Übertragung der Risiken umgesetzt werden.;I;Maßnahmenplan, Umsetzungsnachweise;0;keine Risikobewertung vorhanden;;
Anhang A.2.6 Wiederholung und Anpassung;A.2.6.1;Verpflichtend;Risikoidentifikationen, -analysen und -behandlungen MÜSSEN jährlich auf Aktualität geprüft und bei Bedarf wiederholt werden.;I;Prüfvermerke, aktualisierte Risikoanalysen;0.5;keine Risikobewertung vorhanden;;
